Category,Model,mAP50-95,mAP50,Precision,Recall
YOLOv8 PT,yolov8n,0.4553879004041452,0.6083097812153999,0.6481630262157285,0.6243469280109855
YOLOv8 PT,yolov8s,0.441650965516744,0.5979517461346288,0.633322663957514,0.6306765346137004
YOLOv8 PT,yolov8m,0.469148588776317,0.6131735280715176,0.7660958446100464,0.5598255550959749
YOLOv8 PT,yolov8l,0.46417945621682366,0.5989556016272927,0.6991103223300744,0.6004629684943833
YOLOv8 PT,yolov8x,0.45946982587158514,0.6164991439001691,0.682126105289907,0.6209472390423421
YOLOv9 PT,yolov9t,0.45376041969750336,0.6062641663374752,0.6659746779001068,0.579530670244707
YOLOv9 PT,yolov9s,0.4642910882175544,0.6087423313679177,0.586267754110617,0.6562623062117401
YOLOv9 PT,yolov9m,0.47761864017418887,0.6200137247029793,0.6508832713552166,0.624415901864123
YOLOv9 PT,yolov9c,0.4762415218127859,0.6178748771879656,0.6760080911191151,0.6345775741540194
YOLOv8 YAML,yolov8n.yaml,0.3586663837639047,0.5426536278923156,0.5570396172964986,0.5878492746072279
YOLOv8 YAML,yolov8s.yaml,0.3997539796670813,0.5632657750636092,0.6275044824618163,0.580462468401098
YOLOv8 YAML,yolov8m.yaml,0.4142981672424648,0.5734311254318634,0.567986874308595,0.6211851962025099
YOLOv8 YAML,yolov8l.yaml,0.4206683958008505,0.585121412864385,0.6221886929058931,0.5942190106887195
YOLOv8 YAML,yolov8x.yaml,0.41891016441929024,0.5801319163995169,0.5690265452674121,0.6288802769075765
YOLOv9 YAML,yolov9t.yaml,0.34438348561008353,0.4949988317161862,0.5249152438709228,0.5542487385902083
YOLOv9 YAML,yolov9s.yaml,0.3987571086498686,0.5778981616949067,0.5941316420697125,0.6040038933552929
YOLOv9 YAML,yolov9m.yaml,0.41334740932213465,0.5738338997499579,0.6041919888175761,0.5856937276636898
YOLOv9 YAML,yolov9c.yaml,0.4242145169887138,0.5837986017715754,0.6436094658543297,0.564312887057305
Custom YOLOv9 YAML,09_full_model,0.4253112154600359,0.60485122148018,0.6730438735008638,0.6017988037078851
Custom YOLOv9 YAML,03_baseline_plus_hgblocks,0.44047959178870244,0.6132774714175563,0.6305910847559839,0.6367142565563362
Custom YOLOv9 YAML,custom_yolov9_outperform,0.4349388534218196,0.6082458102969474,0.6920809898753881,0.575020984709194
Custom YOLOv9 YAML,09_additive_full_model_Fusion_FIXED,0.436827645169262,0.6071819963596926,0.6503900560772843,0.6370901418543351
